label,intial_x,initial_y,turning_x,turning_y,conv_x,conv_y,time_to_turning
0,1.52,0.51,1.58,0.56,1.17,0.88,9
0,1.51,0.54,1.59,0.53,1.18,0.88,9
0,1.52,0.51,1.58,0.56,1.17,0.88,8
0,1.51,0.54,1.59,0.53,1.18,0.88,9
0,1.52,0.52,1.60,0.56,1.17,0.88,8
0,1.51,0.54,1.59,0.53,1.18,0.88,9
0,1.52,0.53,1.58,0.56,1.16,0.88,9
0,1.51,0.54,1.59,0.53,1.18,0.88,9
0,1.52,0.52,1.58,0.56,1.18,0.88,9
0,1.53,0.52,1.59,0.53,1.19,0.88,9
1,1.45,0.44,1.54,0.54,1.03,0.83,9
1,1.46,0.46,1.54,0.56,1.04,0.84,6
1,1.45,0.45,1.55,0.54,1.03,0.83,9
1,1.46,0.46,1.54,0.56,1.04,0.84,6
1,1.45,0.45,1.54,0.54,1.03,0.83,9
1,1.46,0.46,1.53,0.56,1.04,0.84,6
1,1.45,0.45,1.53,0.54,1.03,0.83,9
1,1.46,0.46,1.54,0.56,1.04,0.84,6
1,1.45,0.45,1.55,0.54,1.03,0.83,9
1,1.46,0.46,1.54,0.56,1.04,0.84,6
2,1.47,0.46,1.57,0.56,1.05,0.83,9
2,1.45,0.42,1.53,0.53,1.04,0.82,6
2,1.45,0.46,1.57,0.56,1.05,0.83,9
2,1.46,0.42,1.56,0.51,1.04,0.82,6
2,1.46,0.46,1.57,0.56,1.05,0.83,9
2,1.45,0.42,1.52,0.54,1.04,0.82,6
2,1.48,0.46,1.57,0.56,1.05,0.83,9
2,1.46,0.42,1.54,0.53,1.04,0.82,6
2,1.46,0.46,1.57,0.56,1.05,0.83,9
2,1.42,0.42,1.56,0.54,1.04,0.82,6